id(T),xyz(T),ID_LeftLane(L),ID_RightLane(L),lateral_id(L),direction(L),speed_min_limit(L),speed_max_limit(L)
10,429770.360 4414604.777 59.709 429769.526 4414600.864 59.705 429768.720 4414596.991 59.691 429768.372 4414595.252 59.691 429767.587 4414591.325 59.687 429766.789 4414587.394 59.671 429765.990 4414583.489 59.648 429765.199 4414579.568 59.648 429764.391 4414575.655 59.634 429763.597 4414571.730 59.612 429762.811 4414567.807 59.603 429762.014 4414563.883 59.597 429761.212 4414559.965 59.590 429760.394 4414556.046 59.582 429759.757 4414552.917 59.554 429759.653 4414552.412 59.554 429759.565 4414552.004 59.554,,0,0,0,0,0
11,429766.880 4414605.482 59.662 429766.058 4414601.568 59.659 429765.250 4414597.665 59.657 429764.902 4414595.950 59.657 429764.122 4414592.025 59.648 429763.329 4414588.100 59.627 429762.531 4414584.185 59.605 429761.735 4414580.265 59.605 429760.947 4414576.346 59.594 429760.162 4414572.422 59.581 429759.373 4414568.500 59.561 429758.579 4414564.578 59.552 429757.790 4414560.657 59.552 429756.992 4414556.736 59.541 429756.278 4414553.224 59.526 429756.175 4414552.719 59.526,,0,0,0,0,0
12,429751.490 4414511.100 59.292 429750.440 4414507.126 59.274 429749.658 4414503.281 59.274 429748.827 4414499.219 59.260 429748.054 4414495.358 59.214 429747.288 4414491.439 59.194 429746.475 4414487.522 59.185 429745.685 4414483.613 59.159 429744.115 4414475.766 59.114 429742.516 4414467.926 59.071 429741.750 4414464.001 59.039 429740.994 4414460.070 59.023 429740.292 4414456.138 58.998 429738.587 4414448.316 58.943,,0,0,0,0,0
13,429746.122 4414463.116 59.084 429746.871 4414467.044 59.205 429747.663 4414470.964 59.215 429748.477 4414474.884 59.222 429749.273 4414478.810 59.321 429750.072 4414482.728 59.321 429750.866 4414486.626 59.321 429751.665 4414490.545 59.321 429752.461 4414494.453 59.321 429753.237 4414498.257 59.321 429754.091 4414502.446 59.321 429754.861 4414506.225 59.321 429755.618 4414509.582 59.321,,0,0,0,0,0
14,429750.401 4414466.329 59.263 429751.195 4414470.249 59.263 429751.991 4414474.174 59.263 429752.787 4414478.102 59.263 429753.582 4414482.020 59.263 429754.370 4414485.911 59.263 429755.165 4414489.831 59.263 429755.956 4414493.735 59.263 429756.719 4414497.498 59.263 429757.589 4414501.787 59.263 429758.344 4414505.515 59.263 429759.065 4414508.802 59.263,,0,0,0,0,0
15,429747.039 4414507.819 59.240 429746.250 4414503.923 59.230 429745.467 4414499.951 59.213 429744.664 4414496.054 59.169 429743.869 4414492.136 59.156 429743.073 4414488.216 59.146 429742.274 4414484.301 59.115 429741.488 4414480.379 59.102 429740.688 4414476.459 59.072 429739.899 4414472.537 59.039 429739.109 4414468.616 59.028 429738.315 4414464.696 58.991 429737.522 4414460.775 58.977 429736.723 4414456.858 58.952 429735.929 4414452.936 58.911 429735.141 4414449.014 58.911 429734.346 4414445.094 58.885 429733.554 4414441.175 58.850 429732.864 4414437.766 58.850 429732.070 4414433.846 58.826 429731.275 4414429.926 58.794 429730.482 4414426.005 58.773,,0,0,0,0,0
16,429743.317 4414471.845 59.108 429744.884 4414479.695 59.151,,0,0,0,0,0
17,429735.688 4414376.199 58.638 429736.431 4414379.909 58.638 429737.199 4414383.788 58.647 429737.988 4414387.731 58.669 429738.777 4414391.694 58.681 429739.548 4414395.591 58.688 429740.350 4414399.510 58.688 429741.139 4414403.415 58.706 429741.918 4414407.375 58.721 429742.713 4414411.291 58.742 429743.519 4414415.233 58.755 429744.284 4414419.159 58.755 429745.057 4414423.053 58.769 429745.788 4414426.984 58.807 429746.532 4414430.920 58.807 429746.800 4414434.943 58.859 429747.049 4414438.458 58.848 429747.324 4414442.468 58.876 429747.669 4414446.477 58.941 429747.974 4414450.496 58.962 429748.365 4414454.510 58.988 429748.941 4414458.457 59.024 429749.630 4414462.406 59.035 429750.401 4414466.329 59.263,,0,0,0,0,0
18,429732.242 4414376.896 58.552 429732.995 4414380.605 58.572 429733.761 4414384.494 58.581 429734.546 4414388.433 58.604 429735.340 4414392.386 58.633 429736.124 4414396.287 58.651 429736.935 4414400.204 58.651 429737.720 4414404.113 58.683 429738.508 4414408.064 58.714 429739.320 4414411.977 58.751 429740.130 4414415.913 58.783 429740.875 4414419.843 58.783 429741.677 4414423.738 58.811 429742.341 4414427.683 58.851 429742.846 4414431.666 58.864 429743.206 4414435.671 58.891 429743.469 4414439.179 58.880 429743.747 4414443.192 58.894 429744.085 4414447.203 58.972 429744.414 4414451.217 58.993 429744.864 4414455.216 59.035 429745.452 4414459.165 59.067 429746.122 4414463.116 59.084,,0,0,0,0,0
19,429738.587 4414448.316 58.943 429737.783 4414444.399 58.932 429736.988 4414440.484 58.904 429736.296 4414437.071 58.904 429735.505 4414433.151 58.881 429734.702 4414429.231 58.846 429733.909 4414425.311 58.819,,0,0,0,0,0
